stage_s,m,batch_idx,load_mode,first_start,second_start,lane,a_mem_pos,b_mem_pos,a_logical,b_logical,pe_a,pe_b,twiddle_w,b*w,out0(a+b*w),out1(a-b*w)
4,16,0,sequential,0,64,0,0,1,0,16,191571733,339271605,1,339271605,530843338,926050145
4,16,0,sequential,0,64,1,2,3,32,48,977435541,310065481,1,310065481,213751005,667370060
4,16,0,sequential,0,64,2,4,5,64,80,242328568,402050008,1,402050008,644378576,914028577
4,16,0,sequential,0,64,3,6,7,96,112,527433485,463137878,1,463137878,990571363,64295607
4,16,0,sequential,0,64,4,8,9,1,17,402574981,351743354,495671011,635604509,1038179490,840720489
4,16,0,sequential,0,64,5,10,11,33,49,566256351,536182193,495671011,855490512,347996846,784515856
4,16,0,sequential,0,64,6,12,13,65,81,548985340,886169663,495671011,581145834,56381157,1041589523
4,16,0,sequential,0,64,7,14,15,97,113,149969008,158709212,495671011,385310045,535279053,838408980
4,16,0,sequential,0,64,8,16,17,2,18,893618022,876945615,712162816,495746943,315614948,397871079
4,16,0,sequential,0,64,9,18,19,34,50,732000494,179690284,712162816,841482239,499732716,964268272
4,16,0,sequential,0,64,10,20,21,66,82,177813206,4155884,712162816,833050850,1010864056,418512373
4,16,0,sequential,0,64,11,22,23,98,114,896496429,468273328,712162816,750036777,572783189,146459652
4,16,0,sequential,0,64,12,24,25,3,19,1056064765,619525447,974527200,981207951,963522699,74856814
4,16,0,sequential,0,64,13,26,27,35,51,696143645,707126194,974527200,521428431,143822059,174715214
4,16,0,sequential,0,64,14,28,29,67,83,1038002676,654223483,974527200,725678778,689931437,312323898
4,16,0,sequential,0,64,15,30,31,99,115,138073018,738913883,974527200,911614811,1049687829,300208224
4,16,0,sequential,0,64,16,32,33,4,20,258288065,655632293,1035757310,279185071,537473136,1052853011
4,16,0,sequential,0,64,17,34,35,36,52,238909290,249071725,1035757310,437410643,676319933,875248664
4,16,0,sequential,0,64,18,36,37,68,84,16789544,4914739,1035757310,889147827,905937371,201391734
4,16,0,sequential,0,64,19,38,39,100,116,100241616,842334634,1035757310,846162126,946403742,327829507
4,16,0,sequential,0,64,20,40,41,5,21,444164414,439973214,652586448,1037357017,407771414,480557414
4,16,0,sequential,0,64,21,42,43,37,53,956611531,376050978,652586448,528342897,411204411,428268634
4,16,0,sequential,0,64,22,44,45,69,85,669230325,339534559,652586448,1036740305,632220613,706240037
4,16,0,sequential,0,64,23,46,47,101,117,402091825,985583713,652586448,359034789,761126614,43057036
4,16,0,sequential,0,64,24,48,49,6,22,903320239,382031922,752543237,819977800,649548022,83342439
4,16,0,sequential,0,64,25,50,51,38,54,340278981,448061341,752543237,643507100,983786081,770521898
4,16,0,sequential,0,64,26,52,53,70,86,80681042,958025334,752543237,106937226,187618268,1047493833
4,16,0,sequential,0,64,27,54,55,102,118,185611229,1061663974,752543237,464758431,650369660,794602815
4,16,0,sequential,0,64,28,56,57,7,23,946363716,780588213,379311679,1019145050,891758749,1000968683
4,16,0,sequential,0,64,29,58,59,39,55,846776562,1070951622,379311679,263350281,36376826,583426281
4,16,0,sequential,0,64,30,60,61,71,87,909395951,705077355,379311679,320657377,156303311,588738574
4,16,0,sequential,0,64,31,62,63,103,119,843609955,985950377,379311679,589526423,359386361,254083532
4,16,0,sequential,0,64,32,64,65,8,24,929742833,665395094,416084698,89312256,1019055089,840430577
4,16,0,sequential,0,64,33,66,67,40,56,453132627,488010162,416084698,164383402,617516029,288749225
4,16,0,sequential,0,64,34,68,69,72,88,34646367,364312069,416084698,700176544,734822911,408219840
