stage_s,m,batch_idx,load_mode,first_start,second_start,lane,a_mem_pos,b_mem_pos,a_logical,b_logical,pe_a,pe_b,twiddle_w,b*w,out0(a+b*w),out1(a-b*w)
3,8,0,sequential,0,64,0,0,1,0,8,560657283,704664467,1,704664467,191571733,929742833
3,8,0,sequential,0,64,1,2,3,16,24,1039208358,373813264,1,373813264,339271605,665395094
3,8,0,sequential,0,64,2,4,5,32,40,715284084,262151457,1,262151457,977435541,453132627
3,8,0,sequential,0,64,3,6,7,48,56,935912830,447902668,1,447902668,310065481,488010162
3,8,0,sequential,0,64,4,8,9,64,72,675362476,640716109,1,640716109,242328568,34646367
3,8,0,sequential,0,64,5,10,11,80,88,920056047,555743978,1,555743978,402050008,364312069
3,8,0,sequential,0,64,6,12,13,96,104,878259022,722924480,1,722924480,527433485,155334542
3,8,0,sequential,0,64,7,14,15,112,120,77689120,385448758,1,385448758,463137878,765990379
3,8,0,sequential,0,64,8,16,17,1,9,1036384916,721186640,712162816,439940082,402574981,596444834
3,8,0,sequential,0,64,9,18,19,17,25,629052485,536526775,712162816,796440886,351743354,906361616
3,8,0,sequential,0,64,10,20,21,33,41,791181180,579690755,712162816,848825188,566256351,1016106009
3,8,0,sequential,0,64,11,22,23,49,57,750151967,710071742,712162816,859780243,536182193,964121741
3,8,0,sequential,0,64,12,24,25,65,73,818919313,536000604,712162816,803816044,548985340,15103269
3,8,0,sequential,0,64,13,26,27,81,89,73005282,376002616,712162816,813164381,886169663,333590918
3,8,0,sequential,0,64,14,28,29,97,105,1058795123,902744270,712162816,164923902,149969008,893871221
3,8,0,sequential,0,64,15,30,31,113,121,628691194,466446208,712162816,603768035,158709212,24923159
3,8,0,sequential,0,64,16,32,33,2,10,938974043,876498926,1035757310,1028393996,893618022,984330064
3,8,0,sequential,0,64,17,34,35,18,26,463659559,526501726,1035757310,413286056,876945615,50373503
3,8,0,sequential,0,64,18,36,37,34,42,486195272,345496090,1035757310,245805222,732000494,240390050
3,8,0,sequential,0,64,19,38,39,50,58,641098278,770784376,1035757310,612342023,179690284,28756255
3,8,0,sequential,0,64,20,40,41,66,74,30420505,312686111,1035757310,147392701,177813206,956777821
3,8,0,sequential,0,64,21,42,43,82,90,519152086,2370263,1035757310,558753815,4155884,1034148288
