stage_s,m,batch_idx,load_mode,first_start,second_start,lane,a_mem_pos,b_mem_pos,a_logical,b_logical,pe_a,pe_b,twiddle_w,b*w,out0(a+b*w),out1(a-b*w)
2,4,0,sequential,0,64,0,0,1,0,4,150664568,409992715,1,409992715,560657283,814421870
2,4,0,sequential,0,64,1,2,3,8,12,40420545,664243922,1,664243922,704664467,449926640
2,4,0,sequential,0,64,2,4,5,16,20,73337898,965870460,1,965870460,1039208358,181217455
2,4,0,sequential,0,64,3,6,7,24,28,744060712,703502569,1,703502569,373813264,40558143
2,4,0,sequential,0,64,4,8,9,32,36,493045981,222238103,1,222238103,715284084,270807878
2,4,0,sequential,0,64,5,10,11,40,44,626436316,709465158,1,709465158,262151457,990721175
2,4,0,sequential,0,64,6,12,13,48,52,315924106,619988724,1,619988724,935912830,769685399
2,4,0,sequential,0,64,7,14,15,56,60,458383213,1063269472,1,1063269472,447902668,468863758
2,4,0,sequential,0,64,8,16,17,64,68,890547600,858564893,1,858564893,675362476,31982707
2,4,0,sequential,0,64,9,18,19,72,76,628949676,11766433,1,11766433,640716109,617183243
2,4,0,sequential,0,64,10,20,21,80,84,794458138,125597909,1,125597909,920056047,668860229
2,4,0,sequential,0,64,11,22,23,88,92,99773026,455970952,1,455970952,555743978,717552091
2,4,0,sequential,0,64,12,24,25,96,100,809025060,69233962,1,69233962,878259022,739791098
2,4,0,sequential,0,64,13,26,27,104,108,26926102,695998378,1,695998378,722924480,404677741
2,4,0,sequential,0,64,14,28,29,112,116,638152028,513287109,1,513287109,77689120,124864919
2,4,0,sequential,0,64,15,30,31,120,124,97217011,288231747,1,288231747,385448758,882735281
2,4,0,sequential,0,64,16,32,33,1,5,569690558,160531898,1035757310,466694358,1036384916,102996200
2,4,0,sequential,0,64,17,34,35,9,13,216739728,746322230,1035757310,504446912,721186640,786042833
2,4,0,sequential,0,64,18,36,37,17,21,924037302,42307153,1035757310,778765200,629052485,145272102
2,4,0,sequential,0,64,19,38,39,25,29,703512373,964935910,1035757310,906764419,536526775,870497971
2,4,0,sequential,0,64,20,40,41,33,37,906063469,717187710,1035757310,958867728,791181180,1020945758
2,4,0,sequential,0,64,21,42,43,41,45,708575498,964404979,1035757310,944865274,579690755,837460241
2,4,0,sequential,0,64,22,44,45,49,53,428247493,315548793,1035757310,321904474,750151967,106343019
2,4,0,sequential,0,64,23,46,47,57,61,884622057,705905435,1035757310,899199702,710071742,1059172372
2,4,0,sequential,0,64,24,48,49,65,69,202568601,410973179,1035757310,616350712,818919313,659967906
2,4,0,sequential,0,64,25,50,51,73,77,737948878,1014854155,1035757310,871801743,536000604,939897152
2,4,0,sequential,0,64,26,52,53,81,85,799940209,547822781,1035757310,346815090,73005282,453125119
2,4,0,sequential,0,64,27,54,55,89,93,75083163,85110959,1035757310,300919453,376002616,847913727
2,4,0,sequential,0,64,28,56,57,97,101,606799024,95855010,1035757310,451996099,1058795123,154802925
2,4,0,sequential,0,64,29,58,59,105,109,1045703952,724904566,1035757310,930790335,902744270,114913617
2,4,0,sequential,0,64,30,60,61,113,117,284022593,908261564,1035757310,344668601,628691194,1013104009
2,4,0,sequential,0,64,31,62,63,121,125,974296390,681387534,1035757310,565899835,466446208,408396555
2,4,0,sequential,0,64,32,64,65,2,6,1004884466,1053565507,416084698,1007839594,938974043,1070794889
2,4,0,sequential,0,64,33,66,67,10,14,267429886,320255706,416084698,609069040,876498926,732110863
2,4,0,sequential,0,64,34,68,69,18,22,680434682,890589209,416084698,856974894,463659559,897209805
2,4,0,sequential,0,64,35,70,71,26,30,874219671,131377500,416084698,726032072,526501726,148187599
2,4,0,sequential,0,64,36,72,73,34,38,876464941,422232951,416084698,683480348,486195272,192984593
2,4,0,sequential,0,64,37,74,75,42,46,257712362,609090300,416084698,87783728,345496090,169928634
2,4,0,sequential,0,64,38,76,77,50,54,859709038,421529378,416084698,855139257,641098278,4569781
2,4,0,sequential,0,64,39,78,79,58,62,742535390,183726907,416084698,28248986,770784376,714286404
2,4,0,sequential,0,64,40,80,81,66,70,773257233,907173986,416084698,330913289,30420505,442343944
2,4,0,sequential,0,64,41,82,83,74,78,25262905,1037978479,416084698,287423206,312686111,811589716
