stage_k,fwd_stage_s,m,batch_idx,lane,lower_logical,upper_logical,w_forward,w_dif_inverse,w_bf_actual,scale_even_in,scale_odd_in
0,8,256,1,47,222,478,108575979,604496208,1,1,1
0,8,256,1,48,224,480,474130624,361587201,1,1,1
0,8,256,1,49,226,482,206223358,950424869,1,1,1
0,8,256,1,50,228,484,847903535,569518088,1,1,1
0,8,256,1,51,230,486,402440247,104014397,1,1,1
0,8,256,1,52,232,488,1021595250,399787071,1,1,1
0,8,256,1,53,234,490,576444164,605690333,1,1,1
0,8,256,1,54,236,492,677853885,1027540423,1,1,1
0,8,256,1,55,238,494,582929218,717003326,1,1,1
0,8,256,1,56,240,496,274582827,578079006,1,1,1
0,8,256,1,57,242,498,333307578,748152611,1,1,1
0,8,256,1,58,244,500,949879357,685188360,1,1,1
0,8,256,1,59,246,502,605622196,2720947,1,1,1
0,8,256,1,60,248,504,395682580,256012614,1,1,1
0,8,256,1,61,250,506,679951601,172653156,1,1,1
0,8,256,1,62,252,508,632422208,886655516,1,1,1
0,8,256,1,63,254,510,739128805,633042368,1,1,1
0,8,256,2,0,1,257,387049130,261119466,1,1,1
0,8,256,2,1,3,259,1044181966,911342484,1,1,1
0,8,256,2,2,5,261,754587317,773769869,1,1,1
0,8,256,2,3,7,263,470197401,430798803,1,1,1
0,8,256,2,4,9,265,642344479,1003204190,1,1,1
0,8,256,2,5,11,267,290047592,922708511,1,1,1
0,8,256,2,6,13,269,232140538,675169148,1,1,1
0,8,256,2,7,15,271,473577691,759326242,1,1,1
0,8,256,2,8,17,273,601346906,707402973,1,1,1
0,8,256,2,9,19,275,569569967,629952348,1,1,1
0,8,256,2,10,21,277,1063435359,668866215,1,1,1
0,8,256,2,11,23,279,1010800917,896853407,1,1,1
0,8,256,2,12,25,281,754057898,37779410,1,1,1
0,8,256,2,13,27,283,903565468,432695488,1,1,1
0,8,256,2,14,29,285,550287776,950388067,1,1,1
0,8,256,2,15,31,287,1033546797,678619037,1,1,1
0,8,256,2,16,33,289,857085928,974494738,1,1,1
0,8,256,2,17,35,291,22094670,234460888,1,1,1
0,8,256,2,18,37,293,926966534,318268939,1,1,1
0,8,256,2,19,39,295,796711999,232744729,1,1,1
0,8,256,2,20,41,297,400367431,97796171,1,1,1
0,8,256,2,21,43,299,867388620,443370354,1,1,1
0,8,256,2,22,45,301,837399340,883941878,1,1,1
0,8,256,2,23,47,303,168895115,120929536,1,1,1
0,8,256,2,24,49,305,1039528536,1021001773,1,1,1
0,8,256,2,25,51,307,961970295,475050273,1,1,1
0,8,256,2,26,53,309,180193115,637948418,1,1,1
0,8,256,2,27,55,311,862849377,184891112,1,1,1
0,8,256,2,28,57,313,687051942,929693401,1,1,1
0,8,256,2,29,59,315,308338284,166900959,1,1,1
0,8,256,2,30,61,317,564421382,182826986,1,1,1
0,8,256,2,31,63,319,890832652,1021788109,1,1,1
0,8,256,2,32,129,385,897486372,80120362,1,1,1
0,8,256,2,33,131,387,447749019,241353530,1,1,1
0,8,256,2,34,133,389,1011402883,911674907,1,1,1
0,8,256,2,35,135,391,357995642,354165413,1,1,1
0,8,256,2,36,137,393,866421321,406477283,1,1,1
0,8,256,2,37,139,395,705978561,273223569,1,1,1
0,8,256,2,38,141,397,115537598,235749654,1,1,1
0,8,256,2,39,143,399,408280051,687345655,1,1,1
0,8,256,2,40,145,401,593559137,976333489,1,1,1
0,8,256,2,41,147,403,388213601,792905692,1,1,1
0,8,256,2,42,149,405,1016545614,324297663,1,1,1
0,8,256,2,43,151,407,849311954,181248974,1,1,1
0,8,256,2,44,153,409,903910022,632157621,1,1,1
0,8,256,2,45,155,411,553677216,314983892,1,1,1
0,8,256,2,46,157,413,462473722,35281430,1,1,1
0,8,256,2,47,159,415,420015338,144527633,1,1,1
0,8,256,2,48,161,417,563287098,642516283,1,1,1
0,8,256,2,49,163,419,797558737,83243652,1,1,1
0,8,256,2,50,165,421,749008332,853784315,1,1,1
0,8,256,2,51,167,423,887218195,198673260,1,1,1
0,8,256,2,52,169,425,987958779,724401097,1,1,1
0,8,256,2,53,171,427,729824062,469505216,1,1,1
0,8,256,2,54,173,429,304094115,660876184,1,1,1
0,8,256,2,55,175,431,992086157,287045767,1,1,1
0,8,256,2,56,177,433,895939840,136035773,1,1,1
0,8,256,2,57,179,435,157966586,95920508,1,1,1
0,8,256,2,58,181,437,16913392,766943774,1,1,1
0,8,256,2,59,183,439,276923176,447335253,1,1,1
0,8,256,2,60,185,441,132607423,713024045,1,1,1
0,8,256,2,61,187,443,711267742,774302049,1,1,1
0,8,256,2,62,189,445,202278107,928331564,1,1,1
0,8,256,2,63,191,447,482506396,126629315,1,1,1
0,8,256,3,0,65,321,947120702,591243621,1,1,1
0,8,256,3,1,67,323,145418453,871471910,1,1,1
0,8,256,3,2,69,325,299447968,362482275,1,1,1
0,8,256,3,3,71,327,360725972,941142594,1,1,1
0,8,256,3,4,73,329,626414764,796826841,1,1,1
0,8,256,3,5,75,331,306806243,1056836625,1,1,1
0,8,256,3,6,77,333,977829509,915783431,1,1,1
0,8,256,3,7,79,335,937714244,177810177,1,1,1
0,8,256,3,8,81,337,786704250,81663860,1,1,1
0,8,256,3,9,83,339,412873833,769655902,1,1,1
0,8,256,3,10,85,341,604244801,343925955,1,1,1
0,8,256,3,11,87,343,349348920,85791238,1,1,1
0,8,256,3,12,89,345,875076757,186531822,1,1,1
0,8,256,3,13,91,347,219965702,324741685,1,1,1
0,8,256,3,14,93,349,990506365,276191280,1,1,1
0,8,256,3,15,95,351,431233734,510462919,1,1,1
0,8,256,3,16,97,353,929222384,653734679,1,1,1
0,8,256,3,17,99,355,1038468587,611276295,1,1,1
0,8,256,3,18,101,357,758766125,520072801,1,1,1
0,8,256,3,19,103,359,441592396,169839995,1,1,1
0,8,256,3,20,105,361,892501043,224438063,1,1,1
0,8,256,3,21,107,363,749452354,57204403,1,1,1
0,8,256,3,22,109,365,280844325,685536416,1,1,1
0,8,256,3,23,111,367,97416528,480190880,1,1,1
0,8,256,3,24,113,369,386404362,665469966,1,1,1
0,8,256,3,25,115,371,838000363,958212419,1,1,1
0,8,256,3,26,117,373,800526448,367771456,1,1,1
0,8,256,3,27,119,375,667272734,207328696,1,1,1
0,8,256,3,28,121,377,719584604,715754375,1,1,1
0,8,256,3,29,123,379,162075110,62347134,1,1,1
0,8,256,3,30,125,381,832396487,626000998,1,1,1
0,8,256,3,31,127,383,993629655,176263645,1,1,1
0,8,256,3,32,193,449,51961908,182917365,1,1,1
0,8,256,3,33,195,451,890923031,509328635,1,1,1
0,8,256,3,34,197,453,906849058,765411733,1,1,1
0,8,256,3,35,199,455,144056616,386698075,1,1,1
0,8,256,3,36,201,457,888858905,210900640,1,1,1
0,8,256,3,37,203,459,435801599,893556902,1,1,1
0,8,256,3,38,205,461,598699744,111779722,1,1,1
0,8,256,3,39,207,463,52748244,34221481,1,1,1
0,8,256,3,40,209,465,952820481,904854902,1,1,1
0,8,256,3,41,211,467,189808139,236350677,1,1,1
0,8,256,3,42,213,469,630379663,206361397,1,1,1
0,8,256,3,43,215,471,975953846,673382586,1,1,1
0,8,256,3,44,217,473,841005288,277038018,1,1,1
0,8,256,3,45,219,475,755481078,146783483,1,1,1
0,8,256,3,46,221,477,839289129,1051655347,1,1,1
0,8,256,3,47,223,479,99255279,216664089,1,1,1
0,8,256,3,48,225,481,395130980,40203220,1,1,1
0,8,256,3,49,227,483,123361950,523462241,1,1,1
0,8,256,3,50,229,485,641054529,170184549,1,1,1
0,8,256,3,51,231,487,1035970607,319692119,1,1,1
0,8,256,3,52,233,489,176896610,62949100,1,1,1
0,8,256,3,53,235,491,404883802,10314658,1,1,1
0,8,256,3,54,237,493,443797669,504180050,1,1,1
0,8,256,3,55,239,495,366347044,472403111,1,1,1
0,8,256,3,56,241,497,314423775,600172326,1,1,1
0,8,256,3,57,243,499,398580869,841609479,1,1,1
